,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
153,"1,Josh Richardson,36:41,5,12,.417,1,4,.250,4,4,1.000,1,4,5,2,1,3,2,2,15,+7,1/15/2020,,,,,,,,,,,,,,,"
154,"2,Tobias Harris,35:22,14,20,.700,4,6,.667,2,3,.667,1,9,10,3,1,0,0,1,34,+6,1/15/2020,,,,,,,,,,,,,,,"
155,"3,Al Horford,32:40,4,14,.286,2,9,.222,4,4,1.000,2,6,8,6,2,1,1,2,14,+15,1/15/2020,,,,,,,,,,,,,,,"
156,"4,Matisse Thybulle,26:56,2,4,.500,1,3,.333,0,0,,0,3,3,1,2,4,0,5,5,+10,1/15/2020,,,,,,,,,,,,,,,"
157,"5,Furkan Korkmaz,20:51,5,13,.385,3,6,.500,2,5,.400,2,0,2,0,0,0,2,0,15,+5,1/15/2020,,,,,,,,,,,,,,,"
158,"6,James Ennis,15:28,3,5,.600,0,1,.000,0,0,,2,3,5,0,0,0,1,4,6,+4,1/15/2020,,,,,,,,,,,,,,,"
159,"7,Norvel Pelle,12:39,2,2,1.000,0,0,,0,0,,1,6,7,0,0,2,2,2,4,-4,1/15/2020,,,,,,,,,,,,,,,"
160,"8,Mike Scott,11:23,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,+1,1/15/2020,,,,,,,,,,,,,,,"
161,"9,Raul Neto,6:53,1,4,.250,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,1,4,+3,1/15/2020,,,,,,,,,,,,,,,"
162,"10,Shake Milton,240,45,88,.511,11,30,.367,16,25,.640,13,36,49,25,7,11,12,23,117,,1/15/2020,,,,,,,,,,,,,,,"
163,"11,Kyle O'Quinn,1/15/2020,Trey Burke,1/15/2020,Team Totals,1/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
164,"0,Ben Simmons,41:07,,,,,,,,,,,,,,,,,,,,,.622,.692,.000,.538,5.1,9.9,7.5,37.2,1.2,1.9,19.9,21.1,120,111,1.9"
165,"1,Josh Richardson,36:41,,,,,,,,,,,,,,,,,,,,,.545,.458,.333,.333,2.8,11.1,7.0,6.8,1.3,6.3,12.7,18.6,109,107,-0.6"
166,"2,Tobias Harris,35:22,,,,,,,,,,,,,,,,,,,,,.797,.800,.300,.150,3.0,26.0,14.6,15.7,1.4,0.0,0.0,26.1,164,108,16.3"
167,"3,Al Horford,32:40,,,,,,,,,,,,,,,,,,,,,.444,.357,.643,.286,6.4,18.8,12.6,22.5,3.0,2.4,6.0,22.2,114,104,3.2"
168,"4,Matisse Thybulle,26:56,,,,,,,,,,,,,,,,,,,,,.625,.625,.750,.000,0.0,11.4,5.7,4.3,3.6,11.5,0.0,6.4,137,97,6.3"
169,"5,Furkan Korkmaz,20:51,,,,,,,,,,,,,,,,,,,,,.493,.500,.462,.385,10.0,0.0,5.0,0.0,0.0,0.0,11.6,35.7,94,119,-8.4"
170,"6,James Ennis,15:28,,,,,,,,,,,,,,,,,,,,,.600,.600,.200,.000,13.5,19.8,16.7,0.0,0.0,0.0,16.7,16.8,112,111,-9.2"
171,"7,Norvel Pelle,12:39,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,8.2,48.4,28.6,0.0,0.0,12.2,50.0,13.7,90,94,-0.4"
172,"8,Mike Scott,11:23,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,18.3,9.0,13.6,0.0,0.0,0.0,0.0,3.8,108,115,-9.1"
173,"9,Raul Neto,6:53,,,,,,,,,,,,,,,,,,,,,.410,.250,.250,.500,0.0,0.0,0.0,36.7,0.0,0.0,0.0,30.7,113,117,-6.9"
174,"10,Shake Milton,240,,,,,,,,,,,,,,,,,,,,,.591,.574,.341,.284,28.3,76.6,52.7,55.6,7.1,17.7,10.8,100.0,118.9,107.8,"
175,"11,Kyle O'Quinn,Trey Burke,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
176,"0,Ben Simmons,37:09,10,17,.588,0,0,,0,0,,3,8,11,7,1,0,2,2,20,+17,1/17/2020,,,,,,,,,,,,,,,"
177,"1,Tobias Harris,36:10,5,12,.417,0,3,.000,3,3,1.000,0,3,3,4,2,0,1,1,13,+19,1/17/2020,,,,,,,,,,,,,,,"
178,"2,Matisse Thybulle,36:10,2,7,.286,1,5,.200,2,2,1.000,2,2,4,2,2,3,1,2,7,+19,1/17/2020,,,,,,,,,,,,,,,"
179,"3,Al Horford,32:20,8,14,.571,2,6,.333,2,2,1.000,1,4,5,6,0,1,2,1,20,+12,1/17/2020,,,,,,,,,,,,,,,"
180,"4,Josh Richardson,27:18,1,6,.167,0,2,.000,0,0,,1,6,7,4,0,0,1,2,2,-5,1/17/2020,,,,,,,,,,,,,,,"
181,"5,Furkan Korkmaz,26:45,8,11,.727,6,9,.667,2,2,1.000,0,4,4,0,0,1,1,1,24,+6,1/17/2020,,,,,,,,,,,,,,,"
182,"6,Kyle O'Quinn,15:40,3,5,.600,0,1,.000,0,0,,1,4,5,2,2,2,1,2,6,-1,1/17/2020,,,,,,,,,,,,,,,"
183,"7,Raul Neto,14:09,1,3,.333,0,1,.000,0,0,,0,1,1,3,1,0,0,0,2,-7,1/17/2020,,,,,,,,,,,,,,,"
184,"8,James Ennis,11:17,2,4,.500,0,1,.000,2,2,1.000,1,2,3,1,1,0,2,1,6,-1,1/17/2020,,,,,,,,,,,,,,,"
185,"9,Mike Scott,3:02,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-4,1/17/2020,,,,,,,,,,,,,,,"
186,"10,Shake Milton,240,40,82,.488,9,29,.310,11,11,1.000,9,35,44,30,9,7,11,12,100,,1/17/2020,,,,,,,,,,,,,,,"
187,"11,Trey Burke,1/17/2020,Jonah Bolden,1/17/2020,Team Totals,1/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
188,"0,Ben Simmons,37:09,,,,,,,,,,,,,,,,,,,,,.588,.588,.000,.000,9.7,25.2,17.5,33.4,1.4,0.0,10.5,25.1,121,99,2.4"
189,"1,Tobias Harris,36:10,,,,,,,,,,,,,,,,,,,,,.488,.417,.250,.250,0.0,9.7,4.9,15.9,2.9,0.0,7.0,19.4,105,98,-3.1"
190,"2,Matisse Thybulle,36:10,,,,,,,,,,,,,,,,,,,,,.444,.357,.714,.286,6.6,6.5,6.6,7.1,2.9,8.7,11.3,12.0,102,92,0.2"
191,"3,Al Horford,32:20,,,,,,,,,,,,,,,,,,,,,.672,.643,.429,.143,3.7,14.5,9.2,31.7,0.0,3.2,11.8,25.6,127,101,6.8"
192,"4,Josh Richardson,27:18,,,,,,,,,,,,,,,,,,,,,.167,.167,.333,.000,4.4,25.7,15.2,18.4,0.0,0.0,14.3,12.6,69,101,-11.8"
193,"5,Furkan Korkmaz,26:45,,,,,,,,,,,,,,,,,,,,,1.010,1.000,.818,.182,0.0,17.5,8.9,0.0,0.0,3.9,7.8,23.6,161,100,16.1"
194,"6,Kyle O'Quinn,15:40,,,,,,,,,,,,,,,,,,,,,.600,.600,.200,.000,7.7,29.9,18.9,19.9,6.7,13.3,16.7,18.8,112,77,8.8"
195,"7,Raul Neto,14:09,,,,,,,,,,,,,,,,,,,,,.333,.333,.333,.000,0.0,8.3,4.2,27.8,3.7,0.0,0.0,10.4,108,97,-1.5"
196,"8,James Ennis,11:17,,,,,,,,,,,,,,,,,,,,,.615,.500,.250,.500,10.6,20.8,15.8,13.5,4.6,0.0,29.1,29.9,97,92,-3.1"
197,"9,Mike Scott,3:02,,,,,,,,,,,,,,,,,,,,,.000,.000,.333,.000,0.0,38.6,19.5,39.6,0.0,0.0,0.0,48.5,23,99,-36.2"
198,"10,Shake Milton,240,,,,,,,,,,,,,,,,,,,,,.576,.543,.354,.134,22.5,85.4,54.3,75.0,9.8,15.2,11.2,100.0,109.2,97.2,"
199,"11,Trey Burke,Jonah Bolden,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
200,"0,Joel Embiid,36:53,10,21,.476,1,3,.333,10,12,.833,1,10,11,9,2,1,6,4,31,+4,2/17/2021,,,,,,,,,,,,,,,"
201,"1,Seth Curry,36:51,8,13,.615,3,5,.600,6,6,1.000,1,1,2,5,2,0,5,2,25,-7,2/17/2021,,,,,,,,,,,,,,,"
202,"2,Tobias Harris,36:37,8,17,.471,1,2,.500,7,8,.875,1,14,15,5,1,2,0,2,24,-2,2/17/2021,,,,,,,,,,,,,,,"
203,"3,Danny Green,36:04,4,6,.667,4,6,.667,0,0,,1,2,3,0,0,2,3,2,12,-4,2/17/2021,,,,,,,,,,,,,,,"
204,"4,Matisse Thybulle,31:06,2,2,1.000,1,1,1.000,0,0,,1,0,1,2,4,1,0,5,5,+4,2/17/2021,,,,,,,,,,,,,,,"
205,"5,Furkan Korkmaz,15:51,2,6,.333,1,4,.250,0,0,,0,3,3,1,1,0,1,1,5,+14,2/17/2021,,,,,,,,,,,,,,,"
206,"6,Isaiah Joe,12:26,1,6,.167,1,5,.200,0,0,,0,0,0,1,2,0,0,1,3,+3,2/17/2021,,,,,,,,,,,,,,,"
207,"7,Tyrese Maxey,11:42,4,7,.571,0,0,,2,2,1.000,0,2,2,0,0,0,1,0,10,+5,2/17/2021,,,,,,,,,,,,,,,"
208,"8,Mike Scott,11:23,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,0,0,0,+7,2/17/2021,,,,,,,,,,,,,,,"
209,"9,Dwight Howard,11:07,0,2,.000,0,0,,3,4,.750,2,4,6,0,0,0,4,4,3,+1,2/17/2021,,,,,,,,,,,,,,,"
210,"10,Terrance Ferguson,240,39,81,.481,12,26,.462,28,32,.875,7,40,47,23,12,6,20,21,118,,2/17/2021,,,,,,,,,,,,,,,"
211,"11,Tony Bradley,2/17/2021,Vincent Poirier,2/17/2021,Team Totals,2/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
212,"0,Joel Embiid,36:53,,,,,,,,,,,,,,,,,,,,,.590,.500,.143,.571,3.5,26.6,16.6,45.1,2.4,2.9,18.6,36.5,111,103,5.3"
213,"1,Seth Curry,36:51,,,,,,,,,,,,,,,,,,,,,.799,.731,.385,.462,3.5,2.7,3.0,22.8,2.4,0.0,24.2,23.4,126,110,3.5"
214,"2,Tobias Harris,36:37,,,,,,,,,,,,,,,,,,,,,.585,.500,.118,.471,3.5,37.5,22.9,23.0,1.2,5.8,0.0,23.4,133,102,6.8"
215,"3,Danny Green,36:04,,,,,,,,,,,,,,,,,,,,,1.000,1.000,1.000,.000,3.6,5.4,4.6,0.0,0.0,5.9,33.3,10.4,112,112,0.0"
216,"4,Matisse Thybulle,31:06,,,,,,,,,,,,,,,,,,,,,1.250,1.250,.500,.000,4.2,0.0,1.8,8.6,5.8,3.4,0.0,2.7,241,101,7.1"
217,"5,Furkan Korkmaz,15:51,,,,,,,,,,,,,,,,,,,,,.417,.417,.667,.000,0.0,18.5,10.6,9.2,2.8,0.0,14.3,18.4,78,106,-6.3"
218,"6,Isaiah Joe,12:26,,,,,,,,,,,,,,,,,,,,,.250,.250,.833,.000,0.0,0.0,0.0,11.0,7.3,0.0,0.0,20.1,64,100,-6.3"
219,"7,Tyrese Maxey,11:42,,,,,,,,,,,,,,,,,,,,,.635,.571,.000,.286,0.0,16.7,9.5,0.0,0.0,0.0,11.3,31.7,108,113,-4.9"
220,"8,Mike Scott,11:23,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,0.0,34.4,19.6,0.0,0.0,0.0,0.0,3.7,0,109,-6.9"
221,"9,Dwight Howard,11:07,,,,,,,,,,,,,,,,,,,,,.399,.000,.000,2.000,23.3,35.2,30.1,0.0,0.0,0.0,51.5,29.1,57,108,-27.8"
222,"10,Terrance Ferguson,240,,,,,,,,,,,,,,,,,,,,,.621,.556,.321,.395,18.9,81.6,54.7,59.0,11.3,13.3,17.4,100.0,111.0,106.3,"
223,"11,Tony Bradley,Vincent Poirier,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
224,"0,Seth Curry,38:01,2,11,.182,1,5,.200,4,4,1.000,0,4,4,0,0,0,3,2,9,+15,2/19/2021,,,,,,,,,,,,,,,"
225,"1,Danny Green,37:04,4,10,.400,4,8,.500,1,3,.333,0,2,2,5,0,0,0,2,13,+19,2/19/2021,,,,,,,,,,,,,,,"
226,"2,Tobias Harris,36:47,9,16,.563,1,2,.500,3,4,.750,3,9,12,7,0,0,4,4,22,+22,2/19/2021,,,,,,,,,,,,,,,"
227,"3,Matisse Thybulle,36:39,1,3,.333,0,2,.000,0,0,,0,3,3,2,1,3,1,2,2,+16,2/19/2021,,,,,,,,,,,,,,,"
228,"4,Joel Embiid,35:16,17,26,.654,1,2,.500,15,17,.882,6,11,17,5,2,4,2,2,50,+22,2/19/2021,,,,,,,,,,,,,,,"
229,"5,Tyrese Maxey,17:00,3,11,.273,0,0,,0,0,,2,1,3,3,0,0,3,2,6,-11,2/19/2021,,,,,,,,,,,,,,,"
230,"6,Dwight Howard,12:44,4,5,.800,0,0,,0,1,.000,4,6,10,1,0,0,0,1,8,-15,2/19/2021,,,,,,,,,,,,,,,"
231,"7,Furkan Korkmaz,11:27,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,2,2,2,-11,2/19/2021,,,,,,,,,,,,,,,"
232,"8,Mike Scott,8:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-20,2/19/2021,,,,,,,,,,,,,,,"
233,"9,Isaiah Joe,6:25,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,0,0,-2,2/19/2021,,,,,,,,,,,,,,,"
234,"10,Tony Bradley,240,41,87,.471,7,21,.333,23,29,.793,16,37,53,23,5,7,15,18,112,,2/19/2021,,,,,,,,,,,,,,,"
235,"11,Terrance Ferguson,2/19/2021,Vincent Poirier,2/19/2021,Team Totals,2/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
236,"0,Seth Curry,38:01,,,,,,,,,,,,,,,,,,,,,.353,.227,.455,.364,0.0,10.1,5.3,0.0,0.0,0.0,19.0,17.3,67,114,-15.4"
237,"1,Danny Green,37:04,,,,,,,,,,,,,,,,,,,,,.574,.600,.800,.300,0.0,5.2,2.7,18.1,0.0,0.0,0.0,12.8,139,116,1.8"
238,"2,Tobias Harris,36:47,,,,,,,,,,,,,,,,,,,,,.619,.594,.125,.250,8.7,23.5,16.5,31.2,0.0,0.0,18.4,24.7,119,109,3.2"
239,"3,Matisse Thybulle,36:39,,,,,,,,,,,,,,,,,,,,,.333,.333,.667,.000,0.0,7.9,4.1,6.6,1.4,6.2,25.0,4.6,76,108,-1.0"
240,"4,Joel Embiid,35:16,,,,,,,,,,,,,,,,,,,,,.747,.673,.077,.654,18.1,29.9,24.4,38.1,2.8,8.6,5.6,42.1,156,94,33.2"
241,"5,Tyrese Maxey,17:00,,,,,,,,,,,,,,,,,,,,,.273,.273,.000,.000,12.5,5.6,8.9,26.0,0.0,0.0,21.4,34.4,67,116,-20.0"
242,"6,Dwight Howard,12:44,,,,,,,,,,,,,,,,,,,,,.735,.800,.000,.200,33.5,45.2,39.7,14.5,0.0,0.0,0.0,17.9,163,101,11.6"
243,"7,Furkan Korkmaz,11:27,,,,,,,,,,,,,,,,,,,,,.333,.333,.333,.000,0.0,0.0,0.0,0.0,4.3,0.0,40.0,18.3,40,108,-16.5"
244,"8,Mike Scott,8:37,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.1,5.9,0.0,0.0,0.0,,0.0,0,114,-7.0"
245,"9,Isaiah Joe,6:25,,,,,,,,,,,,,,,,,,,,,.000,.000,.500,.000,16.6,0.0,7.9,0.0,7.7,0.0,0.0,13.0,39,101,-7.1"
246,"10,Tony Bradley,240,,,,,,,,,,,,,,,,,,,,,.561,.511,.241,.333,35.6,74.0,55.8,56.1,5.2,11.1,13.1,100.0,115.5,108.2,"
247,"11,Terrance Ferguson,Vincent Poirier,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
248,"0,Ben Simmons,27:55,7,11,.636,0,0,,4,4,1.000,2,4,6,2,2,0,4,2,18,+25,3/1/2021,,,,,,,,,,,,,,,"
249,"1,Joel Embiid,26:59,10,17,.588,1,2,.500,3,3,1.000,0,13,13,5,0,1,2,1,24,+22,3/1/2021,,,,,,,,,,,,,,,"
250,"2,Mike Scott,24:37,4,4,1.000,3,3,1.000,0,0,,0,4,4,0,4,0,2,0,11,+12,3/1/2021,,,,,,,,,,,,,,,"
251,"3,Seth Curry,22:35,3,6,.500,1,3,.333,0,0,,0,0,0,5,1,0,1,0,7,+12,3/1/2021,,,,,,,,,,,,,,,"
252,"4,Danny Green,19:15,1,5,.200,1,5,.200,0,0,,0,1,1,1,1,1,0,2,3,+12,3/1/2021,,,,,,,,,,,,,,,"
253,"5,Shake Milton,29:57,9,14,.643,3,5,.600,5,5,1.000,1,3,4,4,0,0,2,4,26,+4,3/1/2021,,,,,,,,,,,,,,,"
254,"6,Furkan Korkmaz,22:41,6,14,.429,6,13,.462,1,2,.500,0,2,2,2,1,2,2,1,19,+9,3/1/2021,,,,,,,,,,,,,,,"
255,"7,Matisse Thybulle,20:52,1,6,.167,0,3,.000,2,2,1.000,1,0,1,3,0,0,1,2,4,+8,3/1/2021,,,,,,,,,,,,,,,"
256,"8,Tyrese Maxey,17:10,2,3,.667,0,1,.000,0,0,,0,2,2,5,0,1,1,3,4,-8,3/1/2021,,,,,,,,,,,,,,,"
257,"9,Dwight Howard,15:16,4,4,1.000,0,0,,0,0,,2,4,6,0,1,0,2,3,8,-1,3/1/2021,,,,,,,,,,,,,,,"
258,"10,Tony Bradley,5:45,2,2,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,4,-5,3/1/2021,,,,,,,,,,,,,,,"
259,"11,Terrance Ferguson,5:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,1,2,-5,3/1/2021,,,,,,,,,,,,,,,"
260,"12,Vincent Poirier,1:32,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,3/1/2021,,,,,,,,,,,,,,,"
261,"13,Team Totals,240,50,88,.568,15,35,.429,15,16,.938,6,33,39,27,10,6,19,19,130,,3/1/2021,,,,,,,,,,,,,,,"
262,"0,Ben Simmons,27:55,,,,,,,,,,,,,,,,,,,,,.705,.636,.000,.364,10.7,16.8,14.1,9.1,3.2,0.0,23.9,25.3,116,105,-1.9"
263,"1,Joel Embiid,26:59,,,,,,,,,,,,,,,,,,,,,.655,.618,.118,.176,0.0,56.4,31.7,27.6,0.0,2.9,9.8,31.7,128,103,7.9"
264,"2,Mike Scott,24:37,,,,,,,,,,,,,,,,,,,,,1.375,1.375,.750,.000,0.0,19.0,10.7,0.0,7.3,0.0,33.3,10.3,143,96,12.9"
265,"3,Seth Curry,22:35,,,,,,,,,,,,,,,,,,,,,.583,.583,.500,.000,0.0,0.0,0.0,24.4,2.0,0.0,14.3,13.0,127,110,0.9"
266,"4,Danny Green,19:15,,,,,,,,,,,,,,,,,,,,,.300,.300,1.000,.000,0.0,6.1,3.4,5.2,2.3,4.0,0.0,10.9,77,105,-5.2"
267,"5,Shake Milton,29:57,,,,,,,,,,,,,,,,,,,,,.802,.750,.357,.357,5.0,11.7,8.8,18.0,0.0,0.0,11.0,25.6,150,113,4.2"
268,"6,Furkan Korkmaz,22:41,,,,,,,,,,,,,,,,,,,,,.638,.643,.929,.143,0.0,10.3,5.8,11.3,2.0,6.8,11.8,31.3,113,103,6.1"
269,"7,Matisse Thybulle,20:52,,,,,,,,,,,,,,,,,,,,,.291,.167,.500,.333,7.2,0.0,3.2,14.5,0.0,0.0,12.7,15.9,86,115,-11.5"
270,"8,Tyrese Maxey,17:10,,,,,,,,,,,,,,,,,,,,,.667,.667,.333,.000,0.0,13.6,7.7,31.5,0.0,4.5,25.0,9.8,138,109,1.9"
271,"9,Dwight Howard,15:16,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,19.7,30.7,25.8,0.0,2.9,0.0,33.3,16.5,129,103,-0.5"
272,"10,Tony Bradley,5:45,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,13.5,0.0,14.6,200,104,10.3"
273,"11,Terrance Ferguson,5:25,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,23.3,49,115,-18.7"
274,"12,Vincent Poirier,1:32,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0,115,-36.2"
275,"13,Team Totals,240,,,,,,,,,,,,,,,,,,,,,.684,.653,.398,.182,18.8,80.5,53.4,54.0,9.3,9.7,16.7,100.0,121.3,106.4,"
276,"0,Tobias Harris,39:37,9,17,.529,1,5,.200,3,3,1.000,1,2,3,5,2,0,0,2,22,+20,1/20/2021,,,,,,,,,,,,,,,"
277,"1,Ben Simmons,33:30,2,5,.400,0,0,,7,10,.700,3,5,8,8,2,0,3,5,11,+2,1/20/2021,,,,,,,,,,,,,,,"
278,"2,Joel Embiid,32:53,12,19,.632,1,5,.200,17,21,.810,0,10,10,2,1,1,1,2,42,+15,1/20/2021,,,,,,,,,,,,,,,"
279,"3,Danny Green,28:35,4,8,.500,4,8,.500,0,0,,1,5,6,1,1,0,1,2,12,+17,1/20/2021,,,,,,,,,,,,,,,"
280,"4,Tyrese Maxey,20:34,0,4,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,2,0,+2,1/20/2021,,,,,,,,,,,,,,,"
281,"5,Shake Milton,29:05,4,10,.400,2,2,1.000,6,6,1.000,0,1,1,1,1,0,4,1,16,-2,1/20/2021,,,,,,,,,,,,,,,"
282,"6,Matisse Thybulle,21:01,0,3,.000,0,3,.000,0,0,,0,0,0,0,4,1,0,4,0,+2,1/20/2021,,,,,,,,,,,,,,,"
283,"7,Furkan Korkmaz,19:38,2,5,.400,1,3,.333,2,3,.667,0,1,1,0,1,0,0,1,7,-9,1/20/2021,,,,,,,,,,,,,,,"
284,"8,Dwight Howard,15:07,3,7,.429,0,0,,1,2,.500,6,4,10,1,0,1,0,1,7,-7,1/20/2021,,,,,,,,,,,,,,,"
285,"9,Terrance Ferguson,240,36,78,.462,9,27,.333,36,45,.800,11,30,41,20,12,3,9,20,117,,1/20/2021,,,,,,,,,,,,,,,"
286,"10,Paul Reed,1/20/2021,Isaiah Joe,1/20/2021,Tony Bradley,1/20/2021,Team Totals,1/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
287,"0,Tobias Harris,39:37,,,,,,,,,,,,,,,,,,,,,.600,.559,.294,.176,2.6,6.1,4.2,24.1,2.5,0.0,0.0,20.8,136,115,3.8"
288,"1,Ben Simmons,33:30,,,,,,,,,,,,,,,,,,,,,.585,.400,.000,2.000,9.3,17.9,13.3,34.6,2.9,0.0,24.2,16.6,122,110,1.1"
289,"2,Joel Embiid,32:53,,,,,,,,,,,,,,,,,,,,,.744,.658,.263,1.105,0.0,36.5,17.0,15.8,1.5,2.6,3.4,40.0,150,108,19.2"
290,"3,Danny Green,28:35,,,,,,,,,,,,,,,,,,,,,.750,.750,1.000,.000,3.7,21.0,11.7,5.7,1.7,0.0,11.1,14.2,133,113,0.5"
291,"4,Tyrese Maxey,20:34,,,,,,,,,,,,,,,,,,,,,.000,.000,.250,.000,0.0,11.7,5.4,13.0,0.0,0.0,0.0,8.7,33,119,-14.7"
292,"5,Shake Milton,29:05,,,,,,,,,,,,,,,,,,,,,.633,.500,.200,.600,0.0,4.1,1.9,5.6,1.7,0.0,24.0,25.7,99,117,-6.9"
293,"6,Matisse Thybulle,21:01,,,,,,,,,,,,,,,,,,,,,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,9.4,4.1,0.0,6.4,0,98,-2.3"
294,"7,Furkan Korkmaz,19:38,,,,,,,,,,,,,,,,,,,,,.554,.500,.600,.600,0.0,6.1,2.8,0.0,2.5,0.0,0.0,14.5,117,115,-3.0"
295,"8,Dwight Howard,15:07,,,,,,,,,,,,,,,,,,,,,.444,.429,.000,.286,41.4,31.8,36.9,12.0,0.0,5.7,0.0,23.4,131,110,-0.7"
296,"9,Terrance Ferguson,240,,,,,,,,,,,,,,,,,,,,,.598,.519,.346,.577,23.9,75.0,47.7,55.6,12.3,5.4,8.4,100.0,120.2,112.0,"
297,"10,Paul Reed,Isaiah Joe,,,,,,,,,,,,,,,,,,,,,Tony Bradley,Team Totals,,,,,,,,,,,,,"
298,"0,Tobias Harris,46:12,10,20,.500,0,4,.000,2,3,.667,2,10,12,6,2,0,3,5,22,+18,2/20/2020,,,,,,,,,,,,,,,"
299,"1,Joel Embiid,41:06,10,20,.500,1,1,1.000,18,19,.947,6,10,16,2,2,2,5,4,39,+24,2/20/2020,,,,,,,,,,,,,,,"
300,"2,Josh Richardson,38:56,3,12,.250,1,6,.167,0,0,,2,5,7,3,3,1,3,5,7,+16,2/20/2020,,,,,,,,,,,,,,,"
301,"3,Raul Neto,28:26,1,4,.250,0,1,.000,4,4,1.000,0,2,2,4,0,0,1,1,6,+5,2/20/2020,,,,,,,,,,,,,,,"
302,"4,Glenn Robinson,14:07,2,3,.667,0,1,.000,0,0,,0,2,2,0,1,0,0,1,4,+1,2/20/2020,,,,,,,,,,,,,,,"
303,"5,Alec Burks,29:44,6,11,.545,2,4,.500,5,5,1.000,0,4,4,1,0,0,0,2,19,+4,2/20/2020,,,,,,,,,,,,,,,"
304,"6,Al Horford,18:34,2,5,.400,0,2,.000,2,3,.667,0,3,3,2,1,2,0,2,6,-26,2/20/2020,,,,,,,,,,,,,,,"
305,"7,Furkan Korkmaz,17:52,2,5,.400,0,1,.000,0,0,,1,0,1,0,0,1,0,1,4,-13,2/20/2020,,,,,,,,,,,,,,,"
306,"8,Matisse Thybulle,16:21,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-1,2/20/2020,,,,,,,,,,,,,,,"
307,"9,Shake Milton,13:42,2,4,.500,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,0,5,+12,2/20/2020,,,,,,,,,,,,,,,"
308,"10,Norvel Pelle,265,38,86,.442,4,22,.182,32,35,.914,11,37,48,19,10,6,13,22,112,,2/20/2020,,,,,,,,,,,,,,,"
309,"11,Kyle O'Quinn,2/20/2020,Mike Scott,2/20/2020,Team Totals,2/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
310,"0,Tobias Harris,46:12,,,,,,,,,,,,,,,,,,,,,.516,.500,.200,.150,5.1,22.1,14.2,25.9,2.2,0.0,12.3,24.4,104,97,1.4"
311,"1,Joel Embiid,41:06,,,,,,,,,,,,,,,,,,,,,.688,.525,.050,.950,17.2,24.8,21.3,10.3,2.5,3.8,15.0,37.6,130,93,11.6"
312,"2,Josh Richardson,38:56,,,,,,,,,,,,,,,,,,,,,.292,.292,.500,.000,6.1,13.1,9.8,12.0,3.9,2.0,20.0,17.8,66,96,-5.4"
313,"3,Raul Neto,28:26,,,,,,,,,,,,,,,,,,,,,.521,.250,.250,1.000,0.0,7.2,3.8,20.6,0.0,0.0,14.8,11.0,114,109,-3.5"
314,"4,Glenn Robinson,14:07,,,,,,,,,,,,,,,,,,,,,.667,.667,.333,.000,0.0,14.4,7.7,0.0,3.6,0.0,0.0,9.8,133,97,1.9"
